,Cholesterol,Sodium,Fat,Carbohydrates,Protein,Calories
Egg McMuffin,260,750,13,31,17,300
Egg White Delight,25,770,8,30,18,250
Sausage McMuffin,45,780,23,29,14,370
Sausage McMuffin with Egg,285,860,28,30,21,450
Sausage McMuffin with Egg Whites,50,880,23,30,21,400
Steak & Egg McMuffin,300,960,23,31,26,430
"Bacon, Egg & Cheese Biscuit (Regular Biscuit)",250,1300,26,38,19,460
"Bacon, Egg & Cheese Biscuit (Large Biscuit)",250,1410,30,43,19,520
"Bacon, Egg & Cheese Biscuit with Egg Whites (Regular Biscuit)",35,1300,20,36,20,410
"Bacon, Egg & Cheese Biscuit with Egg Whites (Large Biscuit)",35,1420,25,42,20,470
Sausage Biscuit (Regular Biscuit),30,1080,27,34,11,430
Sausage Biscuit (Large Biscuit),30,1190,31,39,11,480
Sausage Biscuit with Egg (Regular Biscuit),250,1170,33,36,18,510
Sausage Biscuit with Egg (Large Biscuit),250,1280,37,42,18,570
Sausage Biscuit with Egg Whites (Regular Biscuit),35,1180,27,34,18,460
Sausage Biscuit with Egg Whites (Large Biscuit),35,1290,32,40,18,520
Southern Style Chicken Biscuit (Regular Biscuit),30,1180,20,41,17,410
Southern Style Chicken Biscuit (Large Biscuit),30,1290,24,46,17,470
Steak & Egg Biscuit (Regular Biscuit),280,1470,32,38,25,540
"Bacon, Egg & Cheese McGriddles",250,1250,21,48,19,460
"Bacon, Egg & Cheese McGriddles with Egg Whites",35,1250,15,47,20,400
Sausage McGriddles,35,1030,22,44,11,420
"Sausage, Egg & Cheese McGriddles",265,1320,31,48,20,550
"Sausage, Egg & Cheese McGriddles with Egg Whites",50,1320,26,46,21,500
"Bacon, Egg & Cheese Bagel",275,1480,31,57,30,620
"Bacon, Egg & Cheese Bagel with Egg Whites",60,1480,25,55,30,570
"Steak, Egg & Cheese Bagel",295,1510,35,56,33,670
Big Breakfast (Regular Biscuit),555,1560,48,51,28,740
Big Breakfast (Large Biscuit),555,1680,52,56,28,800
Big Breakfast with Egg Whites (Regular Biscuit),35,1590,37,50,26,640
Big Breakfast with Egg Whites (Large Biscuit),35,1700,41,55,26,690
Big Breakfast with Hotcakes (Regular Biscuit),575,2150,56,111,36,1090
Big Breakfast with Hotcakes (Large Biscuit),575,2260,60,116,36,1150
Big Breakfast with Hotcakes and Egg Whites (Regular Biscuit),55,2170,46,110,35,990
Big Breakfast with Hotcakes and Egg Whites (Large Biscuit),55,2290,50,115,35,1050
Hotcakes,20,590,9,60,8,350
Hotcakes and Sausage,50,930,24,61,15,520
Sausage Burrito,115,790,16,26,12,300
Hash Brown,0,310,9,15,1,150
Cinnamon Melts,15,370,19,66,6,460
Fruit & Maple Oatmeal,5,160,4,58,5,290
Fruit & Maple Oatmeal without Brown Sugar,5,115,4,49,5,260
Big Mac,85,960,27,47,24,530
Quarter Pounder with Cheese,95,1100,26,41,30,520
Quarter Pounder with Bacon & Cheese,105,1440,29,48,37,600
Quarter Pounder with Bacon Habanero Ranch,105,1180,31,46,37,610
Quarter Pounder Deluxe,85,960,27,45,29,540
Double Quarter Pounder with Cheese,160,1280,43,42,48,750
Hamburger,30,480,8,32,12,240
Cheeseburger,45,680,11,33,15,290
Double Cheeseburger,90,1040,21,35,24,430
Bacon Clubhouse Burger,115,1470,40,51,39,720
McDouble,75,840,17,34,22,380
Bacon McDouble,90,1110,22,35,27,440
Daily Double,80,760,22,34,22,430
Jalapeño Double,80,1030,23,35,22,430
McRib,70,980,26,44,22,500
Premium Crispy Chicken Classic Sandwich,45,990,22,55,24,510
Premium Grilled Chicken Classic Sandwich,65,820,9,42,28,350
Premium Crispy Chicken Club Sandwich,85,1410,33,58,36,670
Premium Grilled Chicken Club Sandwich,105,1250,20,44,40,510
Premium Crispy Chicken Ranch BLT Sandwich,70,1400,28,57,32,610
Premium Grilled Chicken Ranch BLT Sandwich,90,1230,15,43,36,450
Bacon Clubhouse Crispy Chicken Sandwich,90,1720,38,65,36,750
Bacon Clubhouse Grilled Chicken Sandwich,110,1560,25,51,40,590
