,Sods,Fats,Carbs,Prots,Cals
Daily Double,760,22,34,22,430
Nonfat Hazelnut Latte (Medium),135,0,51,12,250
Sprite (Child),25,0,27,0,100
Mocha with Nonfat Milk (Large),240,4,73,17,390
Premium Crispy Chicken Club Sandwich,1410,33,58,36,670
Iced Tea (Small),10,0,0,0,0
Chocolate Shake (Small),240,16,91,12,560
Cinnamon Melts,370,19,66,6,460
Medium French Fries,190,16,44,4,340
Nonfat Caramel Mocha (Small),170,3.5,45,10,250
Frappé Caramel (Large),190,27,96,11,670
Sweet Tea (Child),5,0,27,0,110
Hazelnut Iced Coffee (Small),35,4.5,21,1,130
"Sausage, Egg & Cheese McGriddles",1320,31,48,20,550
Hazelnut Latte (Medium),140,10,50,11,330
Kids French Fries,65,5,15,1,110
Mocha (Small),150,11,49,10,340
Iced Caramel Mocha (Small),140,11,38,8,280
Vanilla Shake (Small),160,15,86,11,530
Sausage Biscuit with Egg (Regular Biscuit),1170,33,36,18,510
"Bacon, Egg & Cheese Bagel",1480,31,57,30,620
McRib,980,26,44,22,500
"Bacon, Egg & Cheese Bagel with Egg Whites",1480,25,55,30,570
Mocha with Nonfat Milk (Small),150,3.5,49,11,270
Coffee (Large),0,0,0,0,0
Southern Style Chicken Biscuit (Large Biscuit),1290,24,46,17,470
Nonfat Hazelnut Latte (Small),110,0,40,10,200
Sausage Biscuit (Large Biscuit),1190,31,39,11,480
Latte (Large),180,14,24,15,280
Nonfat Caramel Mocha (Large),270,3.5,67,17,370
Hot Caramel Sundae,150,8,60,7,340
Sweet Tea (Small),10,0,36,1,150
Minute Maid Orange Juice (Medium),0,0,44,3,190
Diet Dr Pepper (Small),70,0,0,2,0
Diet Dr Pepper (Child),50,0,0,1,0
Big Breakfast (Regular Biscuit),1560,48,51,28,740
Kids Ice Cream Cone,20,1.5,7,1,45
McFlurry with Oreo Cookies (Medium),380,23,106,15,690
Nonfat Latte (Medium),135,0,19,12,130
Cheeseburger,680,11,33,15,290
Fat Free Chocolate Milk Jug,135,0,23,9,130
Filet-O-Fish,590,19,39,15,390
McFlurry with Oreo Cookies (Snack),190,11,53,8,340
Premium Crispy Chicken Ranch BLT Sandwich,1400,28,57,32,610
Coffee (Medium),0,0,0,0,0
Regular Iced Coffee (Small),35,4.5,23,1,140
"Bacon, Egg & Cheese McGriddles with Egg Whites",1250,15,47,20,400
Iced Tea (Medium),10,0,0,0,0
Frappé Mocha (Large),190,26,98,11,670
Strawberry Shake (Medium),210,20,114,15,690
"Bacon, Egg & Cheese Biscuit with Egg Whites (Regular Biscuit)",1300,20,36,20,410
Frappé Mocha (Medium),160,22,80,9,550
Iced Coffee with Sugar Free French Vanilla Syrup (Small),65,4.5,9,1,80
Diet Coke (Child),15,0,0,0,0
Mango Pineapple Smoothie (Small),40,0.5,50,2,210
Blueberry Pomegranate Smoothie (Small),40,0.5,50,2,220
Vanilla Shake (Medium),200,19,109,14,660
Hotcakes,590,9,60,8,350
Nonfat Latte (Small),110,0,15,10,100
Coffee (Small),0,0,0,0,0
French Vanilla Iced Coffee (Large),80,9,41,2,240
Iced Nonfat Caramel Mocha (Large),250,6,65,14,370
Big Mac,960,27,47,24,530
Iced Mocha with Nonfat Milk (Medium),150,5,50,10,290
Premium Southwest Salad with Crispy Chicken,850,22,42,23,450
Hotcakes and Sausage,930,24,61,15,520
Premium Crispy Chicken Classic Sandwich,990,22,55,24,510
Quarter Pounder Deluxe,960,27,45,29,540
Chicken McNuggets (6 piece),540,18,18,13,280
Frappé Caramel (Medium),160,23,79,9,550
McFlurry with Reese's Peanut Butter Cups (Snack),200,16,57,10,410
1% Low Fat Milk Jug,125,2.5,12,8,100
Hot Chocolate with Nonfat Milk (Medium),220,3.5,61,14,340
Sausage Biscuit with Egg Whites (Large Biscuit),1290,32,40,18,520
Dasani Water Bottle,0,0,0,0,0
Bacon Clubhouse Grilled Chicken Sandwich,1560,25,51,40,590
Diet Dr Pepper (Medium),100,0,0,3,0
Bacon Buffalo Ranch McChicken,1260,21,41,20,430
Strawberry Shake (Small),160,16,90,12,550
Iced Nonfat Caramel Mocha (Medium),170,5,47,10,270
Mocha with Nonfat Milk (Medium),190,3.5,60,13,330
Iced Caramel Mocha (Medium),170,13,46,9,340
McFlurry with Oreo Cookies (Small),280,17,80,12,510
Frappé Mocha (Small),125,18,65,7,450
Sweet Tea (Medium),10,0,45,1,180
Egg White Delight,770,8,30,18,250
French Vanilla Latte (Small),115,9,38,9,260
Latte with Sugar Free French Vanilla Syrup (Large),240,14,37,15,330
French Vanilla Iced Coffee (Small),40,4.5,20,1,120
Dr Pepper (Medium),65,0,53,0,190
Sausage McGriddles,1030,22,44,11,420
Latte with Sugar Free French Vanilla Syrup (Small),150,9,24,9,210
Diet Coke (Small),10,0,0,0,0
Chipotle BBQ Snack Wrap (Crispy Chicken),780,15,37,14,340
Large French Fries,290,24,67,6,510
Dr Pepper (Child),30,0,27,0,100
Egg McMuffin,750,13,31,17,300
Oatmeal Raisin Cookie,135,6,22,2,150
Regular Iced Coffee (Large),75,9,47,2,270
Premium Grilled Chicken Ranch BLT Sandwich,1230,15,43,36,450
Caramel Latte (Small),115,9,40,9,270
Chicken McNuggets (4 piece),360,12,12,9,190
Jalapeño Double,1030,23,35,22,430
Iced Mocha (Large),220,16,70,14,480
Baked Apple Pie,170,13,32,2,250
Chicken McNuggets (40 piece),3600,118,118,87,1880
Sausage McMuffin with Egg Whites,880,23,30,21,400
Big Breakfast (Large Biscuit),1680,52,56,28,800
Sausage Biscuit (Regular Biscuit),1080,27,34,11,430
Frappé Chocolate Chip (Medium),160,26,91,9,630
McFlurry with M&M’s Candies (Snack),120,15,64,9,430
Blueberry Pomegranate Smoothie (Large),65,1,79,4,340
Vanilla Shake (Large),260,23,135,18,820
Nonfat Caramel Mocha (Medium),210,3.5,56,13,310
Minute Maid Orange Juice (Small),0,0,34,2,150
Minute Maid Orange Juice (Large),5,0,65,4,280
Hash Brown,310,9,15,1,150
Strawberry Sundae,85,6,49,6,280
Frappé Chocolate Chip (Large),200,31,111,12,760
Iced Coffee with Sugar Free French Vanilla Syrup (Large),135,9,18,2,160
Premium Bacon Ranch Salad with Crispy Chicken,860,21,22,25,380
Steak & Egg Biscuit (Regular Biscuit),1470,32,38,25,540
McFlurry with M&M’s Candies (Medium),260,33,139,20,930
Double Quarter Pounder with Cheese,1280,43,42,48,750
Nonfat French Vanilla Latte (Small),115,0,39,10,190
Premium Bacon Ranch Salad with Grilled Chicken,690,8,8,29,220
Iced Caramel Mocha (Large),250,16,65,13,460
Premium McWrap Chicken & Bacon (Crispy Chicken),1540,32,56,32,630
Caramel Mocha (Small),170,11,45,10,320
Premium McWrap Chicken & Ranch (Crispy Chicken),1340,31,56,27,610
Fruit & Maple Oatmeal without Brown Sugar,115,4,49,5,260
Southern Style Chicken Biscuit (Regular Biscuit),1180,20,41,17,410
Quarter Pounder with Bacon Habanero Ranch,1180,31,46,37,610
Premium Bacon Ranch Salad (without Chicken),300,7,10,9,140
Premium Southwest Salad with Grilled Chicken,680,8,28,27,290
French Vanilla Latte (Large),190,14,60,15,420
Coca-Cola Classic (Child),0,0,28,0,100
Regular Iced Coffee (Medium),50,7,31,1,190
