,Id_Users,Id_Items,Ratings
1,1,Wreck-It Ralph,4
2,1,We're So Young,4
3,1,Brazilian Western,4
4,2,We're So Young,4
5,2,Brazilian Western,4
6,2,Cine Holliudy,5
7,2,Silver Linings Playbook,4
8,2,A Royal Affair,5
9,2,Till Luck Do Us Part 2,2
10,2,Muita Calma Nessa Hora 2,2
11,2,The Book Thief,4
12,2,Blue Is The Warmest Color,5
13,3,Iron Man 3,4
14,3,My Mom Is a Character,3
15,3,Fast & Furious 6,4
16,3,The Wolverine,4
17,3,Thor: The Dark World,4
18,3,Wreck-It Ralph,4
19,3,Monsters University,4
20,3,The Hangover Part III,5
21,3,Vai Que Da Certo,4
22,3,We're So Young,4
23,3,Brazilian Western,4
24,3,Argo,3
25,3,Django Unchained,5
26,3,Life of Pi,4
27,3,Lincoln,3
28,3,Zero Dark Thirty,3
29,3,Les Miserables,3
30,3,Silver Linings Playbook,4
31,3,American Hustle,4
32,3,Capitain Phillips,4
33,3,12 Years a Slave,5
34,3,Dallas Buyers Club,5
35,3,Gravity,3
36,3,Her,5
37,3,The Wolf of Wall Street,4
38,3,The Hunger Games: Catching Fire,4
39,3,The Hobbit: The Desolation of Smaug,4
40,4,Iron Man 3,4
41,4,My Mom Is a Character,3
42,4,Fast & Furious 6,4
43,4,The Wolverine,4
44,4,Thor: The Dark World,4
45,4,Wreck-It Ralph,4
46,4,Monsters University,4
47,4,The Hangover Part III,5
48,4,Vai Que Da Certo,4
49,4,We're So Young,4
50,4,Brazilian Western,4
51,4,Argo,3
52,4,Django Unchained,5
53,4,Life of Pi,4
54,4,Lincoln,3
55,4,Zero Dark Thirty,3
56,4,Les Miserables,3
57,4,Silver Linings Playbook,4
58,4,American Hustle,4
59,4,Capitain Phillips,4
60,4,12 Years a Slave,5
61,4,Dallas Buyers Club,5
62,4,Gravity,3
63,4,Her,5
64,4,The Wolf of Wall Street,4
65,4,The Hunger Games: Catching Fire,4
66,4,The Hobbit: The Desolation of Smaug,4
67,5,Hansel & Gretel: Witch Hunters,2
68,5,We're So Young,4
69,5,Django Unchained,5
70,5,Lincoln,5
71,6,My Mom Is a Character,5
72,6,We're So Young,4
73,6,O Concurso,3
74,6,Life of Pi,5
75,7,Despicable Me 2,5
76,7,My Mom Is a Character,2
77,7,Monsters University,4
78,7,Meu Passado me Condena,4
79,7,We're So Young,5
80,7,Brazilian Western,5
81,7,Cine Holliudy,1
82,7,Argo,4
83,7,Django Unchained,5
84,7,Life of Pi,5
85,7,Lincoln,5
86,7,Les Miserables,4
87,7,Silver Linings Playbook,5
88,7,A Royal Affair,4
89,7,American Hustle,4
90,7,Capitain Phillips,5
91,7,12 Years a Slave,4
92,7,Gravity,2
93,7,The Book Thief,5
94,8,My Mom Is a Character,4
95,8,The Hangover Part III,5
96,8,We're So Young,3
97,8,Les Miserables,4
98,8,Silver Linings Playbook,4
99,8,Muita Calma Nessa Hora 2,4
100,8,Paranormal Activity: The Marked Ones,3
101,8,"I, Frankenstein",4
102,9,Despicable Me 2,5
103,9,My Mom Is a Character,5
104,9,Fast & Furious 6,5
105,9,Hansel & Gretel: Witch Hunters,5
106,9,Wreck-It Ralph,5
107,9,The Hangover Part III,5
108,9,Vai Que Da Certo,5
109,9,Meu Passado me Condena,5
110,9,We're So Young,5
111,9,Mato sem Cachorro,5
112,9,Life of Pi,5
113,9,Lincoln,5
114,9,12 Years a Slave,5
115,9,Till Luck Do Us Part 2,5
116,9,Muita Calma Nessa Hora 2,1
117,10,Thor: The Dark World,2
118,10,Monsters University,4
119,10,The Hangover Part III,4
120,10,Vai Que Da Certo,2
121,10,Meu Passado me Condena,5
122,10,Cine Holliudy,1
123,10,Django Unchained,5
124,10,Life of Pi,4
125,10,Les Miserables,5
126,10,Silver Linings Playbook,5
127,10,American Hustle,4
128,10,Capitain Phillips,4
129,10,12 Years a Slave,5
130,10,Dallas Buyers Club,5
131,10,Gravity,4
132,10,Her,3
133,10,The Wolf of Wall Street,5
134,10,The Book Thief,5
135,10,Blue Is The Warmest Color,4
136,11,Monsters University,5
137,11,Amour,2
138,11,American Hustle,3
139,11,Frozen,5
140,11,"I, Frankenstein",3
141,12,Fast & Furious 6,5
142,12,The Hangover Part III,5
143,12,Vai Que Da Certo,5
144,12,Meu Passado me Condena,5
145,12,We're So Young,5
146,12,Brazilian Western,5
147,12,Argo,5
148,12,Django Unchained,5
149,12,Zero Dark Thirty,5
150,12,Silver Linings Playbook,5
151,12,Capitain Phillips,5
152,12,Gravity,4
153,12,The Wolf of Wall Street,5
154,12,The Hunt,5
155,12,The Book Thief,5
156,12,The Hunger Games: Catching Fire,5
157,13,Iron Man 3,4
158,13,Despicable Me 2,5
159,13,My Mom Is a Character,5
160,13,Fast & Furious 6,4
161,13,Wreck-It Ralph,5
162,13,Monsters University,5
163,13,The Hangover Part III,4
164,13,Brazilian Western,4
165,13,Life of Pi,5
166,13,Silver Linings Playbook,4
167,13,Frozen,5
168,13,Muita Calma Nessa Hora 2,4
169,13,The Hunger Games: Catching Fire,4
170,13,The Hobbit: The Desolation of Smaug,4
171,14,Iron Man 3,3
172,14,Despicable Me 2,4
173,14,My Mom Is a Character,5
174,14,Fast & Furious 6,4
175,14,Wreck-It Ralph,4
176,14,The Hangover Part III,2
177,14,Vai Que Da Certo,2
178,14,We're So Young,4
179,14,Mato sem Cachorro,2
180,14,Django Unchained,5
181,14,Life of Pi,5
182,14,Lincoln,4
183,14,Till Luck Do Us Part 2,2
184,15,Iron Man 3,4
185,15,My Mom Is a Character,3
186,15,Fast & Furious 6,5
187,15,The Wolverine,5
188,15,Thor: The Dark World,5
189,15,Hansel & Gretel: Witch Hunters,3
190,15,Vai Que Da Certo,3
191,15,Capitain Phillips,4
192,16,Despicable Me 2,4
193,16,My Mom Is a Character,3
194,16,Fast & Furious 6,4
195,16,The Wolverine,4
196,16,Thor: The Dark World,3
197,16,Wreck-It Ralph,4
198,16,Monsters University,4
199,16,The Hangover Part III,2
200,16,We're So Young,4
201,16,Odeio o Dia dos Namorados,2
202,16,Argo,5
203,16,Django Unchained,3
204,16,Life of Pi,5
205,16,Lincoln,2
206,16,Zero Dark Thirty,5
207,16,Les Miserables,2
208,16,Silver Linings Playbook,5
209,16,American Hustle,5
210,16,Dallas Buyers Club,5
211,16,Her,5
212,16,The Wolf of Wall Street,5
213,16,The Hunger Games: Catching Fire,4
214,16,The Hobbit: The Desolation of Smaug,3
215,17,Iron Man 3,4
216,17,Despicable Me 2,5
217,17,My Mom Is a Character,5
218,17,Fast & Furious 6,4
219,17,The Wolverine,3
220,17,The Hangover Part III,3
221,17,Beasts of the Southern Wild,4
222,17,Capitain Phillips,4
223,17,Frozen,5
224,18,Iron Man 3,3
225,18,Despicable Me 2,4
226,18,My Mom Is a Character,2
227,18,Thor: The Dark World,4
228,18,Hansel & Gretel: Witch Hunters,4
229,18,Wreck-It Ralph,5
230,18,The Hangover Part III,2
231,18,We're So Young,4
232,18,Brazilian Western,4
233,18,Mato sem Cachorro,2
234,18,Cine Holliudy,2
235,18,Django Unchained,5
236,18,Life of Pi,4
237,18,Les Miserables,4
238,18,12 Years a Slave,5
239,18,Gravity,5
240,18,The Wolf of Wall Street,5
241,18,Muita Calma Nessa Hora 2,2
242,19,Iron Man 3,4
243,19,Despicable Me 2,5
244,19,My Mom Is a Character,3
245,19,The Wolverine,5
246,19,Thor: The Dark World,5
247,19,Monsters University,5
248,19,The Hangover Part III,5
249,19,Meu Passado me Condena,4
250,19,We're So Young,4
251,19,Brazilian Western,4
252,19,O Concurso,4
253,19,Odeio o Dia dos Namorados,4
254,19,Life of Pi,4
255,19,Lincoln,4
256,19,Zero Dark Thirty,4
257,19,Les Miserables,4
258,19,Silver Linings Playbook,5
259,19,American Hustle,5
260,19,Capitain Phillips,4
261,19,12 Years a Slave,4
262,19,Dallas Buyers Club,4
263,19,The Wolf of Wall Street,4
264,19,Frozen,5
265,19,Till Luck Do Us Part 2,5
266,19,Muita Calma Nessa Hora 2,4
267,19,The Book Thief,4
268,19,The Hunger Games: Catching Fire,5
269,19,Blue Is The Warmest Color,5
270,19,Reaching for the Moon,5
271,19,The Hobbit: The Desolation of Smaug,5
272,20,Despicable Me 2,5
273,20,My Mom Is a Character,5
274,20,Thor: The Dark World,3
275,20,Monsters University,5
276,20,The Hangover Part III,5
277,20,Vai Que Da Certo,3
278,20,Meu Passado me Condena,4
279,20,Odeio o Dia dos Namorados,4
280,20,Life of Pi,5
281,20,Till Luck Do Us Part 2,4
282,20,Muita Calma Nessa Hora 2,4
283,21,Iron Man 3,2
284,21,Despicable Me 2,2
285,21,My Mom Is a Character,4
286,21,Fast & Furious 6,1
287,21,The Wolverine,3
288,21,Thor: The Dark World,3
289,21,Hansel & Gretel: Witch Hunters,2
290,21,Wreck-It Ralph,3
291,21,The Hangover Part III,4
292,21,Vai Que Da Certo,4
293,21,Meu Passado me Condena,3
294,21,We're So Young,4
295,21,Life of Pi,5
296,21,Zero Dark Thirty,2
297,21,Les Miserables,5
298,21,Silver Linings Playbook,4
299,21,Gravity,4
300,21,The Wolf of Wall Street,5
301,21,Till Luck Do Us Part 2,3
302,21,The Hunger Games: Catching Fire,3
303,21,The Hobbit: The Desolation of Smaug,4
304,22,Iron Man 3,4
305,22,Fast & Furious 6,5
306,22,The Wolverine,1
307,22,Thor: The Dark World,2
308,22,The Hangover Part III,5
309,22,Vai Que Da Certo,2
