Anonimo,Avengers: End Game,The Lion King,Frozen II,Toy Story 4,Captain Marvel,Star Wars: The rise of Skywalker,Spider-Man: Far From Home,Aladdin,Joker,It: Chapter 2,Jumanji: The next level,Us,Fast & Furios Presents: Hobbs & Shaw,John Wick: Chapter 3 - Parabellum,How to train your dragon: The hidden World,The secret lif of pets 2,Once upon a time in... hollywood...,Pokémon: Detective Pikachu,Shazam,Aquaman,Knives Out,Dumbo,Maleficent: Mistress of Evil,Glass,Godzilla: King of the Monsters,Ford Vs Ferrary,The upside,The Lego Movie 2: The Second Part,Hustlers,The Adams Family
1,5,3,3,,4,5,5,,5,,3,,,3,4,,5,1,3,4,,2,,4,,4,,,,
2,4,3,1,2,3,3,3,4,5,4,2,4,3,4,5,1,4,5,4,3,4,2,4,3,1,5,1,1,1,2
3,4,3,2,2,4,2,3,4,5,4,3,4,3,5,5,1,3,5,4,3,2,2,4,4,3,5,3,3,1,1
4,5,3,1,4,4,,5,,5,,,,2,,,,,,3,3,,,,5,3,5,,,,
5,4,4,3,3,2,3,3,3,4,3,1,3,,2,3,,1,,3,4,3,,2,3,5,3,,,,
6,5,4,3,3,2,2,4,4,5,4,4,,,5,,3,1,4,4,5,5,5,4,,3,5,,1,,3
7,5,2,3,2,4,5,5,2,5,2,2,,,,5,2,1,5,5,4,1,5,1,1,3,1,1,3,1,5
8,5,1,,3,2,,3,4,4,3,,,,,,,,,,,,,,,,,,,,
9,5,4,2,2,3,4,5,3,5,3,,5,3,4,4,2,4,1,3,4,,3,4,,4,5,,1,,4
10,5,4,3,3,4,4,5,5,5,4,3,,3,,3,,2,1,2,4,5,3,4,,,,,,,
11,4,2,2,2,3,5,3,1,5,3,3,4,3,5,4,2,5,5,3,3,3,3,4,4,3,5,3,3,3,1
12,4,4,2,,3,1,5,,5,,,,,5,5,2,1,2,3,4,,,,4,3,,,4,,
13,5,5,3,4,3,2,3,5,4,,,,,,5,,,4,4,4,,3,,4,3,,,,,
14,3,3,,,3,2,3,4,5,4,4,3,2,3,5,2,4,3,5,3,3,,,4,3,,,,,
15,5,5,2,3,4,,5,4,,,3,,,,,,,,4,5,,,5,,,,,,,
16,5,5,5,1,5,1,,5,5,,,,5,,,5,,,,,,,5,,,,,,,
17,5,4,3,5,3,1,2,3,5,5,2,2,1,3,5,3,3,1,5,5,5,3,4,3,3,4,4,5,3,3
18,5,4,,5,3,4,4,,4,3,2,,3,,5,3,,2,4,5,,,,,5,5,,,,
19,5,5,5,4,4,5,5,2,5,3,3,5,3,5,5,4,1,2,3,4,5,4,4,5,3,5,1,4,3,4
20,5,4,,4,4,3,4,5,5,,,5,3,,,,5,,,5,5,4,4,,,,5,,3,4
21,4,,4,,,,5,5,4,,4,,3,,5,2,,4,,4,,3,4,,,,,1,,3
22,5,4,2,,3,,4,5,5,4,,,,,3,3,4,4,,4,,2,3,5,,,,,,3
23,4,4,3,3,3,3,3,4,4,3,1,4,3,3,4,3,1,1,2,3,5,3,3,4,5,4,,,,
24,4,2,2,2,4,1,4,4,5,3,1,1,2,4,5,4,1,3,4,4,1,4,1,4,4,1,1,2,1,1
25,,3,,,,,3,1,,3,5,,,,2,,,,,,,2,,,,,,2,,4
26,4,,,4,3,1,4,3,5,3,,,,4,,,,,,,,,2,5,,,,,,
27,5,2,3,3,4,4,3,2,4,5,2,3,1,3,2,4,5,3,3,4,4,5,3,3,5,4,4,3,1,3
28,5,2,3,5,4,4,5,4,5,3,3,3,1,3,3,5,3,1,1,3,3,5,5,3,5,3,3,,,
29,5,5,4,3,1,1,3,5,4,3,5,1,1,3,5,3,3,1,1,5,4,5,5,3,5,5,1,1,1,3
30,5,5,3,4,1,,4,5,5,2,,5,2,,3,3,,,1,1,,5,5,4,2,5,3,,3,2
31,4,4,,3,2,2,,4,3,4,,3,1,4,4,3,5,1,2,3,4,4,3,4,2,5,,,,3
32,5,3,3,3,1,3,4,4,5,2,1,3,2,,,,,,,,,,,,,,,,,
33,5,,3,4,,,4,4,,,3,,,5,,,,,4,4,,4,4,,4,,,,,4
34,5,5,,3,1,2,4,5,5,,,,,,5,4,,,,,,5,,,,,,,,
35,3,2,3,3,2,5,4,5,,,2,,2,,3,,,,,3,,,,,,,,,2,
36,5,3,,4,3,2,5,1,5,5,3,2,4,5,3,,5,,3,3,5,3,2,4,5,5,3,3,2,3
37,5,4,,3,3,3,4,,5,4,4,,3,5,5,,,,4,4,,5,4,5,4,,,,,
38,4,,,4,,,4,,4,,,5,,,4,,,,,,,,,,,,,,,
39,4,5,4,5,,,4,3,5,3,2,,,,5,,,,,,,5,5,5,,5,,,,
40,5,2,1,4,2,2,2,,5,,2,,,3,5,3,5,4,4,,4,,2,4,3,3,3,3,2,
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,3,3,3,3,3,,4,3,4,4,,,3,,4.5,3,4,4,,3,4.5,,,3,3,,,,,
43,5,2,2,3,3,,4,4,5,2,1,1,3,1,2,3,4,4,5,2,1,5,5,3,1,5,2,2,3,4
44,3,3,3,3,5,3,5,5,5,4,,,,5,5,5,,5,,2,3,5,5,,,,2,2,4,2
45,4,5,,3,,2,3,3,5,,4,,,,4,3,4,,,3,5,4,4,,,,,,,
46,5,4,2,3,4,,4,5,4,5,,,,,4,,,5,5,4,,4,,,4,,,,,
47,5,4,3,4,4,,,3,4,4,2,3,,,5,5,,4,5,5,4,5,5,,,5,5,,,4
48,5,,2,5,5,,5,4,5,,,,4,,,,,,5,5,,5,,,3,,,,,4
49,5,1,1,1,2,3,2,5,1,1,4,1,2,5,4,3,5,3,4,4,5,5,1,3,3,5,4,1,1,1
50,5,,1,4,4,,5,3,3,,2,,,,3,3,,,,,,,,,,3,,,,
51,3,4,1,4,2,3,2,5,4,3,1,,1,,4,3,4,,,,4,5,,3,2,4,,,,3
52,4,4,4,4,4,,,5,5,3,2,4,,4,,,,,,,,,5,,4,,,,,
53,4,4,,3,4,4,,2,5,3,3,,,,3,,,5,,,,3,,,5,,,,,2
54,4,3,3,5,3,,4,3,5,,,,,,,,5,,3,3,,,3,,,5,,3,,
55,5,2,3,5,3,2,4,2,5,2,3,4,2,4,5,3,2,3,4,5,3,5,3,4,3,5,2,4,3,5
56,5,4,2,4,3,,4,5,2,,2,,2,,,,,,3,,,5,4,,,,,,,
57,,4,,5,,,,3,5,,2,,,,2,3,,,,,,,5,,,,,,,5
58,5,5,4,5,5,,5,3,5,3,,5,,,5,,,4,,5,,3,4,3,4,5,,,,3
59,5,4,1,3,4,4,4,5,5,4,5,5,3,5,5,4,5,5,5,5,4,5,3,4,3,5,1,3,2,5
60,4,,,4,3,3,4,4,4,4,4,5,3,4,4,3,4,3,3,3,5,2,3,3,,4,,,,
61,5,3,2,4,4,,5,5,4,,4,,,,4,,,,5,5,,,4,4,2,,5,,,
62,5,4,4,3,2,,5,5,4,1,,5,,,,,5,,,4,4,,,4,3,,3,,3,
63,5,4,3,5,4,4,5,3,4,3,2,,2,,,,,3,5,5,2,,3,4,,5,,,,
64,4,3,3,5,2,,5,,4,,4,,4,5,,3,,,,4,,3,,,,5,5,,,3
65,4,,3,3,3,4,,4,5,,,,,3,3,3,,,2,3,,,,,1,,5,3,,
66,5,4,,3,1,,4,4,5,4,,5,2,,,,5,,4,4,4,,,4,,4,,,4,
67,4,4,2,3,2,,4,4,5,,4,,2,,3,3,,3,4,3,,,4,,3,,,2,,
68,4,3,3,4,2,,3,,4,,3,,,,3,4,,,,,,,4,,3,,,,,
69,5,3,4,4,2,5,3,3,,4,3,5,,,,,,,,4,,4,4,4,2,,5,,,4
70,4,5,2,4,3,3,3,4,4,,2,3,,,4,,,3,4,3,,5,2,,3,,,4,,3
71,5,4,2,4,3,3,3,3,5,3,2,5,1,2,3,2,5,3,4,3,4,5,3,5,4,5,3,2,3,4
72,4,5,3,4,,3,3,4,5,3,2,,,4,,,4,2,3,,5,,3,,3,,,3,3,
73,5,,,,2,2,4,,5,,,,,,,,,5,,,,,,,,,,,,
74,5,3,,4,2,,4,3,5,1,,,,,,,4,,,3,4,,,3,,5,,,,
75,4,5,,5,,5,3,5,5,4,4,,,,4,,,,,,,,,,,,,,,
76,5,3,3,4,1,1,5,5,5,4,2,4,1,3,2,2,1,1,4,4,3,5,3,4,4,2,4,3,4,1
77,4,5,3,4,3,2,3,5,4,3,3,,4,4,3,3,4,2,3,3,4,5,5,5,4,3,3,2,3,5
78,5,4,1,3,3,1,4,4,5,2,3,,4,5,5,,,3,3,4,,,,4,4,5,,,,
79,5,4,1,3,1,1,3,5,5,4,2,,,4,3,2,4,,3,3,,5,,,2,,,2,,
80,4,,,3,,3,4,,5,3,2,,,,3,,,3,3,3,,,,,,,,,,
81,5,4,4,3,2,2,4,5,5,4,,,,4,5,,4,4,3,3,,4,5,,4,,,3,,3
82,4,5,,3,2,,4,5,5,4,,,1,,,,4,3,3,3,,,2,3,2,,,,4,
83,5,4,,4,2,,3,4,5,,4,,,,4,,,,,4,,3,3,,3,,,,,
84,5,3,4,4,3,,4,3,5,3,,,3,,4,,,4,,5,,5,4,,3,,,,,
85,4,3,2,3,3,3,3,2,,,4,,4,3,3,3,,5,,4,,3,4,,1,4,,2,,2
86,4,5,,4,2,,4,5,5,3,3,,,,4,,4,,,3,,4,5,4,3,,,,,5
87,5,5,,5,3,,5,,5,3,,,,,3,3,,3,,3,5,,,,,,,,,
88,5,4,,4,3,,5,4,5,3,3,,2,,,,4,4,,,,,,,3,,,,,
89,2,5,3,5,2,2,4,5,5,5,,5,,3,3,3,5,3,3,4,,4,5,3,3,,,3,3,3
90,4,5,5,5,2,2,5,4,5,4,5,5,3,4,5,3,4,4,4,5,4,4,4,5,4,4,5,5,4,5
91,4,5,4,3,2,3,5,5,5,4,,4,,,3,,3,2,,,5,3,,,,,,,,
92,5,5,3,4,3,,4,4,5,4,,,4,4,,,,,,4,,4,5,,,,,,,
93,5,5,4,4,3,4,4,5,4,5,4,5,4,5,3,4,3,5,5,4,5,4,4,5,5,3,4,5,4,5
94,4,5,3,3,1,,,5,5,1,4,,,,3,4,,,,,4,3,3,,,,,,,
95,5,5,2,2,2,,4,5,4,5,,5,,,5,5,3,1,4,3,4,,,5,,,,3,,
96,5,4,1,2,2,3,4,3,5,4,3,2,5,4,3,3,3,3,3,3,3,3,3,5,3,4,4,1,2,2
97,4,,,5,3,3,3,,4,3,2,,1,4,4,,5,,2,1,5,,,2,1,,,,,
98,5,5,2,5,1,2,4,3,5,4,3,1,3,4,4,2,3,1,3,2,1,1,1,3,2,4,1,1,1,1
99,5,5,2,3,2,2,3,3,4,3,4,2,3,4,3,3,4,3,2,4,4,3,4,4,5,3,4,3,3,2
100,5,3,2,5,,,3,5,5,2,,,,,5,,5,,2,,,2,,,,,,,,
101,,4,1,2,3,2,4,2,5,3,,,,,,,3,3,3,,4,,,,,,,,,
102,5,4,3,3,1,,4,4,5,2,2,,1,,3,3,,,2,3,,5,4,,,,,,,2
103,5,5,3,3,3,4,3,5,5,2,3,,,,,,,,,,,,,,,,,,,
104,4,5,5,2,,,4,5,5,1,,,3,,,,,,,,,,,,,,,,,5
105,4,4,5,5,3,2,3,5,2,,,,,,,,,,,,,,,,,,,,,
106,4,,,3,3,,4,3,4,,,,,,,,5,,3,,,,,3,3,5,,,,
